index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
0,1928,ACTOR,Richard Barthelmess,The Noose,False,nm0001932,1895,1963,"actor,soundtrack,producer",33,False,2021,0,M
1,1928,ACTOR,Emil Jannings,The Last Command,True,nm0417837,1884,1950,"actor,producer,art_department",44,False,2021,0,M
328,1929,ACTOR,George Bancroft,Thunderbolt,False,nm0051628,1882,1956,actor,47,False,2021,0,M
332,1929,ACTOR,Warner Baxter,In Old Arizona,True,nm0062828,1889,1951,"actor,soundtrack",40,False,2021,0,M
333,1929,ACTOR,Chester Morris,Alibi,False,nm0606431,1901,1970,"actor,soundtrack",28,False,2021,0,M
335,1929,ACTOR,Paul Muni,The Valiant,False,nm0612847,1895,1967,"actor,soundtrack",34,False,2021,0,M
338,1933,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False,nm0612847,1895,1967,"actor,soundtrack",38,False,2021,0,M
341,1936,ACTOR,Paul Muni,Black Fury,False,nm0612847,1895,1967,"actor,soundtrack",41,False,2021,0,M
344,1937,ACTOR,Paul Muni,The Story of Louis Pasteur,True,nm0612847,1895,1967,"actor,soundtrack",42,False,2021,0,M
347,1938,ACTOR,Paul Muni,The Life of Emile Zola,False,nm0612847,1895,1967,"actor,soundtrack",43,False,2021,0,M
350,1960,ACTOR,Paul Muni,The Last Angry Man,False,nm0612847,1895,1967,"actor,soundtrack",65,False,2021,0,M
353,1929,ACTOR,Lewis Stone,The Patriot,False,nm0832011,1879,1953,"actor,writer",50,False,2021,0,M
398,1931,ACTOR,Lionel Barrymore,A Free Soul,True,nm0000859,1878,1954,"actor,director,soundtrack",53,False,2021,0,M
465,1930,ACTOR,George Arliss,Disraeli,True,nm0002183,1868,1946,"actor,writer,soundtrack",62,False,2021,0,M
466,1930,ACTOR,George Arliss,The Green Goddess,False,nm0002183,1868,1946,"actor,writer,soundtrack",62,False,2021,0,M
467,1930,ACTOR,Wallace Beery,The Big House,False,nm0000891,1885,1949,"actor,director,soundtrack",45,False,2021,0,M
468,1932,ACTOR,Wallace Beery,The Champ,True,nm0000891,1885,1949,"actor,director,soundtrack",47,False,2021,0,M
469,1930,ACTOR,Maurice Chevalier,The Big Pond,False,nm0002001,1888,1972,"soundtrack,actor,writer",42,False,2021,0,M
475,1930,ACTOR,Ronald Colman,Bulldog Drummond,False,nm0172903,1891,1958,"actor,soundtrack,producer",39,False,2021,0,M
477,1943,ACTOR,Ronald Colman,Random Harvest,False,nm0172903,1891,1958,"actor,soundtrack,producer",52,False,2021,0,M
479,1948,ACTOR,Ronald Colman,A Double Life,True,nm0172903,1891,1958,"actor,soundtrack,producer",57,False,2021,0,M
481,1930,ACTOR,Lawrence Tibbett,The Rogue Song,False,nm0862546,1896,1960,"actor,soundtrack,assistant_director",34,False,2021,0,M
577,1931,ACTOR,Jackie Cooper,Skippy,False,nm0178114,1922,2011,"actor,director,producer",9,False,2021,0,M
582,1931,ACTOR,Richard Dix,Cimarron,False,nm0228715,1893,1949,"actor,soundtrack,producer",38,False,2021,0,M
587,1931,ACTOR,Fredric March,The Royal Family of Broadway,False,nm0545298,1897,1975,"actor,soundtrack",34,False,2021,0,M
588,1932,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True,nm0545298,1897,1975,"actor,soundtrack",35,False,2021,0,M
589,1938,ACTOR,Fredric March,A Star Is Born,False,nm0545298,1897,1975,"actor,soundtrack",41,False,2021,0,M
590,1947,ACTOR,Fredric March,The Best Years of Our Lives,True,nm0545298,1897,1975,"actor,soundtrack",50,False,2021,0,M
591,1952,ACTOR,Fredric March,Death of a Salesman,False,nm0545298,1897,1975,"actor,soundtrack",55,False,2021,0,M
592,1931,ACTOR,Adolphe Menjou,The Front Page,False,nm0579663,1890,1963,"actor,soundtrack,producer",41,False,2021,0,M
867,1932,ACTOR,Alfred Lunt,The Guardsman,False,nm0526795,1892,1977,actor,40,False,2021,0,M
911,1933,ACTOR,Leslie Howard,Berkeley Square,False,nm0001366,1893,1943,"actor,producer,soundtrack",40,False,2021,0,M
921,1939,ACTOR,Leslie Howard,Pygmalion,False,nm0001366,1893,1943,"actor,producer,soundtrack",46,False,2021,0,M
931,1933,ACTOR,Charles Laughton,The Private Life of Henry VIII,True,nm0001452,1899,1962,"actor,soundtrack,writer",34,False,2021,0,M
932,1936,ACTOR,Charles Laughton,Mutiny on the Bounty,False,nm0001452,1899,1962,"actor,soundtrack,writer",37,False,2021,0,M
933,1958,ACTOR,Charles Laughton,Witness for the Prosecution,False,nm0001452,1899,1962,"actor,soundtrack,writer",59,False,2021,0,M
1056,1935,ACTOR,Clark Gable,It Happened One Night,True,nm0000022,1901,1960,"actor,soundtrack,producer",34,False,2021,0,M
1058,1936,ACTOR,Clark Gable,Mutiny on the Bounty,False,nm0000022,1901,1960,"actor,soundtrack,producer",35,False,2021,0,M
