index,year_ceremony,category,name,film,winner,nconst,birthYear,deathYear,primaryProfession,ceremonyAge,alive,currentYear,currentAge,gender
2,1928,ACTRESS,Louise Dresser,A Ship Comes In,False,nm0237571,1878,1965,actress,50,False,2021,0,F
3,1928,ACTRESS,Janet Gaynor,7th Heaven,True,nm0310980,1906,1984,"actress,soundtrack",22,False,2021,0,F
6,1938,ACTRESS,Janet Gaynor,A Star Is Born,False,nm0310980,1906,1984,"actress,soundtrack",32,False,2021,0,F
9,1928,ACTRESS,Gloria Swanson,Sadie Thompson,False,nm0841797,1899,1983,"actress,soundtrack,producer",29,False,2021,0,F
12,1930,ACTRESS,Gloria Swanson,The Trespasser,False,nm0841797,1899,1983,"actress,soundtrack,producer",31,False,2021,0,F
15,1951,ACTRESS,Gloria Swanson,Sunset Blvd.,False,nm0841797,1899,1983,"actress,soundtrack,producer",52,False,2021,0,F
358,1929,ACTRESS,Ruth Chatterton,Madame X,False,nm0154183,1892,1961,"actress,soundtrack,writer",37,False,2021,0,F
359,1930,ACTRESS,Ruth Chatterton,Sarah and Son,False,nm0154183,1892,1961,"actress,soundtrack,writer",38,False,2021,0,F
360,1929,ACTRESS,Betty Compson,The Barker,False,nm0173993,1897,1974,"actress,soundtrack",32,False,2021,0,F
361,1929,ACTRESS,Jeanne Eagels,The Letter,False,nm0247074,1890,1929,actress,39,False,2021,0,F
362,1929,ACTRESS,Corinne Griffith,The Divine Lady,False,nm0341464,1894,1979,"actress,producer,soundtrack",35,False,2021,0,F
363,1929,ACTRESS,Bessie Love,The Broadway Melody,False,nm0522281,1898,1986,"actress,soundtrack,script_department",31,False,2021,0,F
364,1929,ACTRESS,Mary Pickford,Coquette,True,nm0681933,1892,1979,"actress,producer,writer",37,False,2021,0,F
482,1930,ACTRESS,Nancy Carroll,The Devil's Holiday,False,nm0007216,1903,1965,"actress,soundtrack",27,False,2021,0,F
495,1930,ACTRESS,Greta Garbo,Anna Christie,False,nm0001256,1905,1990,"actress,soundtrack",25,False,2021,0,F
497,1938,ACTRESS,Greta Garbo,Camille,False,nm0001256,1905,1990,"actress,soundtrack",33,False,2021,0,F
499,1940,ACTRESS,Greta Garbo,Ninotchka,False,nm0001256,1905,1990,"actress,soundtrack",35,False,2021,0,F
501,1930,ACTRESS,Norma Shearer,The Divorcee,True,nm0790454,1902,1983,"actress,soundtrack",28,False,2021,0,F
502,1930,ACTRESS,Norma Shearer,Their Own Desire,False,nm0790454,1902,1983,"actress,soundtrack",28,False,2021,0,F
503,1931,ACTRESS,Norma Shearer,A Free Soul,False,nm0790454,1902,1983,"actress,soundtrack",29,False,2021,0,F
504,1935,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,False,nm0790454,1902,1983,"actress,soundtrack",33,False,2021,0,F
505,1937,ACTRESS,Norma Shearer,Romeo and Juliet,False,nm0790454,1902,1983,"actress,soundtrack",35,False,2021,0,F
506,1939,ACTRESS,Norma Shearer,Marie Antoinette,False,nm0790454,1902,1983,"actress,soundtrack",37,False,2021,0,F
593,1931,ACTRESS,Marlene Dietrich,Morocco,False,nm0000017,1901,1992,"soundtrack,actress,music_department",30,False,2021,0,F
595,1931,ACTRESS,Marie Dressler,Min and Bill,True,nm0237597,1868,1934,"actress,soundtrack,writer",63,False,2021,0,F
596,1932,ACTRESS,Marie Dressler,Emma,False,nm0237597,1868,1934,"actress,soundtrack,writer",64,False,2021,0,F
597,1931,ACTRESS,Irene Dunne,Cimarron,False,nm0002050,1898,1990,"actress,soundtrack",33,False,2021,0,F
598,1937,ACTRESS,Irene Dunne,Theodora Goes Wild,False,nm0002050,1898,1990,"actress,soundtrack",39,False,2021,0,F
599,1938,ACTRESS,Irene Dunne,The Awful Truth,False,nm0002050,1898,1990,"actress,soundtrack",40,False,2021,0,F
600,1940,ACTRESS,Irene Dunne,Love Affair,False,nm0002050,1898,1990,"actress,soundtrack",42,False,2021,0,F
601,1949,ACTRESS,Irene Dunne,I Remember Mama,False,nm0002050,1898,1990,"actress,soundtrack",51,False,2021,0,F
602,1931,ACTRESS,Ann Harding,Holiday,False,nm0362267,1902,1981,"actress,soundtrack",29,False,2021,0,F
868,1932,ACTRESS,Lynn Fontanne,The Guardsman,False,nm0285007,1887,1983,actress,45,False,2021,0,F
869,1932,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True,nm0371040,1900,1993,"actress,soundtrack",32,False,2021,0,F
880,1971,ACTRESS IN A SUPPORTING ROLE,Helen Hayes,Airport,True,nm0371040,1900,1993,"actress,soundtrack",71,False,2021,0,F
934,1933,ACTRESS,Katharine Hepburn,Morning Glory,True,nm0000031,1907,2003,"actress,soundtrack,writer",26,False,2021,0,F
935,1936,ACTRESS,Katharine Hepburn,Alice Adams,False,nm0000031,1907,2003,"actress,soundtrack,writer",29,False,2021,0,F
936,1941,ACTRESS,Katharine Hepburn,The Philadelphia Story,False,nm0000031,1907,2003,"actress,soundtrack,writer",34,False,2021,0,F
937,1943,ACTRESS,Katharine Hepburn,Woman of the Year,False,nm0000031,1907,2003,"actress,soundtrack,writer",36,False,2021,0,F
938,1952,ACTRESS,Katharine Hepburn,The African Queen,False,nm0000031,1907,2003,"actress,soundtrack,writer",45,False,2021,0,F
939,1956,ACTRESS,Katharine Hepburn,Summertime,False,nm0000031,1907,2003,"actress,soundtrack,writer",49,False,2021,0,F
940,1957,ACTRESS,Katharine Hepburn,The Rainmaker,False,nm0000031,1907,2003,"actress,soundtrack,writer",50,False,2021,0,F
941,1960,ACTRESS,Katharine Hepburn,"Suddenly, Last Summer",False,nm0000031,1907,2003,"actress,soundtrack,writer",53,False,2021,0,F
