name,winner,gender,birthYear,year_film,category,ceremonyAge,num_times_nominated
Abigail Breslin,False,F,1996,2006,ACTRESS IN A SUPPORTING ROLE,10,1
Adam Driver,False,M,1983,2018,ACTOR IN A SUPPORTING ROLE,35,2
Adam Driver,False,M,1983,2019,ACTOR IN A LEADING ROLE,36,2
Adolph Caesar,False,M,1933,1984,ACTOR IN A SUPPORTING ROLE,51,1
Adolphe Menjou,False,M,1890,1930,ACTOR,40,1
Adriana Barraza,False,F,1956,2006,ACTRESS IN A SUPPORTING ROLE,50,1
Adrien Brody,True,M,1973,2002,ACTOR IN A LEADING ROLE,29,1
Agnes Moorehead,False,F,1900,1942,ACTRESS IN A SUPPORTING ROLE,42,4
Agnes Moorehead,False,F,1900,1944,ACTRESS IN A SUPPORTING ROLE,44,4
Agnes Moorehead,False,F,1900,1948,ACTRESS IN A SUPPORTING ROLE,48,4
Agnes Moorehead,False,F,1900,1964,ACTRESS IN A SUPPORTING ROLE,64,4
Akim Tamiroff,False,M,1899,1936,ACTOR IN A SUPPORTING ROLE,37,2
Akim Tamiroff,False,M,1899,1943,ACTOR IN A SUPPORTING ROLE,44,2
Al Pacino,False,M,1940,1972,ACTOR IN A SUPPORTING ROLE,32,9
Al Pacino,False,M,1940,1973,ACTOR,33,9
Al Pacino,False,M,1940,1974,ACTOR,34,9
Al Pacino,False,M,1940,1975,ACTOR,35,9
Al Pacino,False,M,1940,1979,ACTOR IN A LEADING ROLE,39,9
Al Pacino,False,M,1940,1990,ACTOR IN A SUPPORTING ROLE,50,9
Al Pacino,False,M,1940,1992,ACTOR IN A SUPPORTING ROLE,52,9
Al Pacino,False,M,1940,2019,ACTOR IN A SUPPORTING ROLE,79,9
Al Pacino,True,M,1940,1992,ACTOR IN A LEADING ROLE,52,9
Alan Alda,False,M,1936,2004,ACTOR IN A SUPPORTING ROLE,68,1
Alan Arkin,False,M,1934,1966,ACTOR,32,4
Alan Arkin,False,M,1934,1968,ACTOR,34,4
Alan Arkin,False,M,1934,2012,ACTOR IN A SUPPORTING ROLE,78,4
Alan Arkin,True,M,1934,2006,ACTOR IN A SUPPORTING ROLE,72,4
Alan Bates,False,M,1934,1968,ACTOR,34,1
Albert Brooks,False,M,1947,1987,ACTOR IN A SUPPORTING ROLE,40,1
Albert Finney,False,M,1936,1963,ACTOR,27,5
Albert Finney,False,M,1936,1974,ACTOR,38,5
Albert Finney,False,M,1936,1983,ACTOR IN A LEADING ROLE,47,5
Albert Finney,False,M,1936,1984,ACTOR IN A LEADING ROLE,48,5
Albert Finney,False,M,1936,2000,ACTOR IN A SUPPORTING ROLE,64,5
Alec Baldwin,False,M,1958,2003,ACTOR IN A SUPPORTING ROLE,45,1
Alec Guinness,False,M,1914,1952,ACTOR,38,4
Alec Guinness,False,M,1914,1977,ACTOR IN A SUPPORTING ROLE,63,4
Alec Guinness,False,M,1914,1988,ACTOR IN A SUPPORTING ROLE,74,4
Alec Guinness,True,M,1914,1957,ACTOR,43,4
Alexander Knox,False,M,1907,1944,ACTOR,37,1
Alfre Woodard,False,F,1952,1983,ACTRESS IN A SUPPORTING ROLE,31,1
Alfred Lunt,False,M,1892,1931,ACTOR,39,1
Ali MacGraw,False,F,1939,1970,ACTRESS,31,1
Alice Brady,False,F,1892,1936,ACTRESS IN A SUPPORTING ROLE,44,2
Alice Brady,True,F,1892,1937,ACTRESS IN A SUPPORTING ROLE,45,2
Alicia Vikander,True,F,1988,2015,ACTRESS IN A SUPPORTING ROLE,27,1
Aline MacMahon,False,F,1899,1944,ACTRESS IN A SUPPORTING ROLE,45,1
Allison Janney,True,F,1959,2017,ACTRESS IN A SUPPORTING ROLE,58,1
Amy Adams,False,F,1974,2005,ACTRESS IN A SUPPORTING ROLE,31,6
Amy Adams,False,F,1974,2008,ACTRESS IN A SUPPORTING ROLE,34,6
Amy Adams,False,F,1974,2010,ACTRESS IN A SUPPORTING ROLE,36,6
Amy Adams,False,F,1974,2012,ACTRESS IN A SUPPORTING ROLE,38,6
Amy Adams,False,F,1974,2013,ACTRESS IN A LEADING ROLE,39,6
Amy Adams,False,F,1974,2018,ACTRESS IN A SUPPORTING ROLE,44,6
Amy Irving,False,F,1953,1983,ACTRESS IN A SUPPORTING ROLE,30,1
