name,winner,gender,birthYear,year_film,category,ceremonyAge,num_times_nominated,degree,year
Abigail Breslin,False,F,1996,2006,ACTRESS IN A SUPPORTING ROLE,10,1,17,2006
Adam Driver,False,M,1983,2018,ACTOR IN A SUPPORTING ROLE,35,2,34,2018
Adam Driver,False,M,1983,2019,ACTOR IN A LEADING ROLE,36,2,43,2019
Adolph Caesar,False,M,1933,1984,ACTOR IN A SUPPORTING ROLE,51,1,2,1984
Adolphe Menjou,False,M,1890,1930,ACTOR,40,1,22,1930
Adriana Barraza,False,F,1956,2006,ACTRESS IN A SUPPORTING ROLE,50,1,4,2006
Adrien Brody,True,M,1973,2002,ACTOR IN A LEADING ROLE,29,1,34,2002
Agnes Moorehead,False,F,1900,1942,ACTRESS IN A SUPPORTING ROLE,42,4,3,1942
Agnes Moorehead,False,F,1900,1944,ACTRESS IN A SUPPORTING ROLE,44,4,24,1944
Agnes Moorehead,False,F,1900,1948,ACTRESS IN A SUPPORTING ROLE,48,4,40,1948
Agnes Moorehead,False,F,1900,1964,ACTRESS IN A SUPPORTING ROLE,64,4,105,1964
Akim Tamiroff,False,M,1899,1936,ACTOR IN A SUPPORTING ROLE,37,2,51,1936
Akim Tamiroff,False,M,1899,1943,ACTOR IN A SUPPORTING ROLE,44,2,81,1943
Al Pacino,False,M,1940,1972,ACTOR IN A SUPPORTING ROLE,32,9,12,1972
Al Pacino,False,M,1940,1973,ACTOR,33,9,17,1973
Al Pacino,False,M,1940,1974,ACTOR,34,9,20,1974
Al Pacino,False,M,1940,1975,ACTOR,35,9,23,1975
Al Pacino,False,M,1940,1979,ACTOR IN A LEADING ROLE,39,9,27,1979
Al Pacino,False,M,1940,1990,ACTOR IN A SUPPORTING ROLE,50,9,44,1990
Al Pacino,False,M,1940,1992,ACTOR IN A SUPPORTING ROLE,52,9,54,1992
Al Pacino,False,M,1940,2019,ACTOR IN A SUPPORTING ROLE,79,9,125,2019
Al Pacino,True,M,1940,1992,ACTOR IN A LEADING ROLE,52,9,54,1992
Alan Alda,False,M,1936,2004,ACTOR IN A SUPPORTING ROLE,68,1,66,2004
Alan Arkin,False,M,1934,1966,ACTOR,32,4,4,1966
Alan Arkin,False,M,1934,1968,ACTOR,34,4,12,1968
Alan Arkin,False,M,1934,2012,ACTOR IN A SUPPORTING ROLE,78,4,116,2012
Alan Arkin,True,M,1934,2006,ACTOR IN A SUPPORTING ROLE,72,4,101,2006
Alan Bates,False,M,1934,1968,ACTOR,34,1,21,1968
Albert Brooks,False,M,1947,1987,ACTOR IN A SUPPORTING ROLE,40,1,21,1987
Albert Finney,False,M,1936,1963,ACTOR,27,5,9,1963
Albert Finney,False,M,1936,1974,ACTOR,38,5,26,1974
Albert Finney,False,M,1936,1983,ACTOR IN A LEADING ROLE,47,5,41,1983
Albert Finney,False,M,1936,1984,ACTOR IN A LEADING ROLE,48,5,42,1984
Albert Finney,False,M,1936,2000,ACTOR IN A SUPPORTING ROLE,64,5,64,2000
Alec Baldwin,False,M,1958,2003,ACTOR IN A SUPPORTING ROLE,45,1,72,2003
Alec Guinness,False,M,1914,1952,ACTOR,38,4,10,1952
Alec Guinness,False,M,1914,1977,ACTOR IN A SUPPORTING ROLE,63,4,61,1977
Alec Guinness,False,M,1914,1988,ACTOR IN A SUPPORTING ROLE,74,4,70,1988
Alec Guinness,True,M,1914,1957,ACTOR,43,4,20,1957
Alexander Knox,False,M,1907,1944,ACTOR,37,1,17,1944
Alfre Woodard,False,F,1952,1983,ACTRESS IN A SUPPORTING ROLE,31,1,4,1983
Alfred Lunt,False,M,1892,1931,ACTOR,39,1,3,1931
Ali MacGraw,False,F,1939,1970,ACTRESS,31,1,0,1970
Alice Brady,False,F,1892,1936,ACTRESS IN A SUPPORTING ROLE,44,2,36,1936
Alice Brady,True,F,1892,1937,ACTRESS IN A SUPPORTING ROLE,45,2,40,1937
Alicia Vikander,True,F,1988,2015,ACTRESS IN A SUPPORTING ROLE,27,1,18,2015
Aline MacMahon,False,F,1899,1944,ACTRESS IN A SUPPORTING ROLE,45,1,51,1944
Allison Janney,True,F,1959,2017,ACTRESS IN A SUPPORTING ROLE,58,1,98,2017
Amy Adams,False,F,1974,2005,ACTRESS IN A SUPPORTING ROLE,31,6,9,2005
Amy Adams,False,F,1974,2008,ACTRESS IN A SUPPORTING ROLE,34,6,24,2008
Amy Adams,False,F,1974,2010,ACTRESS IN A SUPPORTING ROLE,36,6,38,2010
Amy Adams,False,F,1974,2012,ACTRESS IN A SUPPORTING ROLE,38,6,49,2012
Amy Adams,False,F,1974,2013,ACTRESS IN A LEADING ROLE,39,6,61,2013
Amy Adams,False,F,1974,2018,ACTRESS IN A SUPPORTING ROLE,44,6,74,2018
Amy Irving,False,F,1953,1983,ACTRESS IN A SUPPORTING ROLE,30,1,16,1983
Amy Madigan,False,F,1950,1985,ACTRESS IN A SUPPORTING ROLE,35,1,12,1985
Amy Ryan,False,F,1968,2007,ACTRESS IN A SUPPORTING ROLE,39,1,24,2007
Andrea Leeds,False,F,1914,1937,ACTRESS IN A SUPPORTING ROLE,23,1,6,1937
Andrew Garfield,False,M,1983,2016,ACTOR IN A LEADING ROLE,33,1,32,2016
Andy Garcia,False,M,1956,1990,ACTOR IN A SUPPORTING ROLE,34,1,7,1990
Angela Bassett,False,F,1958,1993,ACTRESS IN A LEADING ROLE,35,1,17,1993
Angela Lansbury,False,F,1925,1944,ACTRESS IN A SUPPORTING ROLE,19,3,9,1944
Angela Lansbury,False,F,1925,1945,ACTRESS IN A SUPPORTING ROLE,20,3,11,1945
Angela Lansbury,False,F,1925,1962,ACTRESS IN A SUPPORTING ROLE,37,3,59,1962
Angelina Jolie,False,F,1975,2008,ACTRESS IN A LEADING ROLE,33,2,49,2008
Angelina Jolie,True,F,1975,1999,ACTRESS IN A SUPPORTING ROLE,24,2,17,1999
Anjelica Huston,False,F,1951,1989,ACTRESS IN A SUPPORTING ROLE,38,3,28,1989
Anjelica Huston,False,F,1951,1990,ACTRESS IN A LEADING ROLE,39,3,32,1990
Anjelica Huston,True,F,1951,1985,ACTRESS IN A SUPPORTING ROLE,34,3,17,1985
Ann Blyth,False,F,1927,1945,ACTRESS IN A SUPPORTING ROLE,18,1,5,1945
Ann Harding,False,F,1902,1930,ACTRESS,28,1,4,1930
Ann Sothern,False,F,1909,1987,ACTRESS IN A SUPPORTING ROLE,78,1,65,1987
Ann-Margret,False,F,1941,1971,ACTRESS IN A SUPPORTING ROLE,30,2,30,1971
Ann-Margret,False,F,1941,1975,ACTRESS,34,2,35,1975
Anna Kendrick,False,F,1985,2009,ACTRESS IN A SUPPORTING ROLE,24,1,5,2009
Anna Magnani,False,F,1908,1957,ACTRESS,49,2,12,1957
Anna Magnani,True,F,1908,1955,ACTRESS,47,2,9,1955
Anna Paquin,True,F,1982,1993,ACTRESS IN A SUPPORTING ROLE,11,1,4,1993
Anne Archer,False,F,1947,1987,ACTRESS IN A SUPPORTING ROLE,40,1,20,1987
Anne Bancroft,False,F,1931,1964,ACTRESS,33,5,22,1964
Anne Bancroft,False,F,1931,1967,ACTRESS,36,5,34,1967
Anne Bancroft,False,F,1931,1977,ACTRESS IN A LEADING ROLE,46,5,56,1977
Anne Bancroft,False,F,1931,1985,ACTRESS IN A LEADING ROLE,54,5,69,1985
Anne Bancroft,True,F,1931,1962,ACTRESS,31,5,18,1962
Anne Baxter,False,F,1923,1950,ACTRESS,27,2,53,1950
Anne Baxter,True,F,1923,1946,ACTRESS IN A SUPPORTING ROLE,23,2,33,1946
Anne Hathaway,False,F,1982,2008,ACTRESS IN A LEADING ROLE,26,2,39,2008
Anne Hathaway,True,F,1982,2012,ACTRESS IN A SUPPORTING ROLE,30,2,66,2012
Anne Ramsey,False,F,1929,1987,ACTRESS IN A SUPPORTING ROLE,58,1,14,1987
Anne Revere,False,F,1903,1943,ACTRESS IN A SUPPORTING ROLE,40,3,38,1943
Anne Revere,False,F,1903,1947,ACTRESS IN A SUPPORTING ROLE,44,3,66,1947
Anne Revere,True,F,1903,1945,ACTRESS IN A SUPPORTING ROLE,42,3,47,1945
Anne Shirley,False,F,1918,1937,ACTRESS IN A SUPPORTING ROLE,19,1,1,1937
Annette Bening,False,F,1958,1990,ACTRESS IN A SUPPORTING ROLE,32,4,11,1990
Annette Bening,False,F,1958,1999,ACTRESS IN A LEADING ROLE,41,4,40,1999
Annette Bening,False,F,1958,2004,ACTRESS IN A LEADING ROLE,46,4,47,2004
Annette Bening,False,F,1958,2010,ACTRESS IN A LEADING ROLE,52,4,57,2010
Anthony Franciosa,False,M,1928,1957,ACTOR,29,1,11,1957
