source,target,year
Donald Crisp,Lionel Barrymore,1911
Mary Pickford,Donald Crisp,1911
Lionel Barrymore,Donald Crisp,1911
Mary Pickford,Donald Crisp,1911
Mary Pickford,Lionel Barrymore,1912
Mary Pickford,Lillian Gish,1912
Lionel Barrymore,Lillian Gish,1912
Lillian Gish,Erich von Stroheim,1912
Mary Pickford,Lionel Barrymore,1912
Mary Pickford,Lionel Barrymore,1912
Mary Pickford,Lillian Gish,1912
Lionel Barrymore,Lillian Gish,1912
Mary Pickford,Lionel Barrymore,1912
Mary Pickford,Lillian Gish,1912
Lionel Barrymore,Lillian Gish,1912
Lionel Barrymore,Lillian Gish,1912
Lionel Barrymore,Lillian Gish,1912
Mary Pickford,Lionel Barrymore,1912
Mary Pickford,Lillian Gish,1912
Lionel Barrymore,Lillian Gish,1912
Lionel Barrymore,Lillian Gish,1912
Lionel Barrymore,Lillian Gish,1912
Lionel Barrymore,Lillian Gish,1912
Mary Pickford,Lionel Barrymore,1912
Mary Pickford,Lillian Gish,1912
Lionel Barrymore,Lillian Gish,1912
Mary Pickford,Donald Crisp,1912
Herbert Brenon,Herbert Brenon,1913
Lionel Barrymore,Lillian Gish,1913
Mary Pickford,Lionel Barrymore,1913
Mary Pickford,Lillian Gish,1913
Lionel Barrymore,Lillian Gish,1913
Lionel Barrymore,Donald Crisp,1913
Lionel Barrymore,Donald Crisp,1913
Lillian Gish,Lionel Barrymore,1913
Lionel Barrymore,Lillian Gish,1913
Lillian Gish,Lionel Barrymore,1913
Lionel Barrymore,Lillian Gish,1913
Lionel Barrymore,Lillian Gish,1913
Lillian Gish,Lionel Barrymore,1913
Lillian Gish,Donald Crisp,1913
Lillian Gish,Lionel Barrymore,1913
Lillian Gish,Lionel Barrymore,1913
Herbert Brenon,Herbert Brenon,1913
Lionel Barrymore,Mary Pickford,1913
Marie Dressler,Charles Chaplin,1914
Cecil B. DeMille,Cecil B. DeMille,1914
Charles Chaplin,Charles Chaplin,1914
Lillian Gish,Lionel Barrymore,1914
Jane Darwell,Cecil B. DeMille,1914
Lillian Gish,Donald Crisp,1914
Charles Chaplin,Charles Chaplin,1914
Charles Chaplin,Charles Chaplin,1914
Charles Chaplin,Charles Chaplin,1914
Charles Chaplin,Charles Chaplin,1914
Charles Chaplin,Charles Chaplin,1914
Charles Chaplin,Charles Chaplin,1914
Charles Chaplin,Charles Chaplin,1914
Lionel Barrymore,Donald Crisp,1914
Jane Darwell,Cecil B. DeMille,1914
Jane Darwell,Cecil B. DeMille,1914
Jane Darwell,Cecil B. DeMille,1914
H. B. Warner,Cecil B. DeMille,1914
Donald Crisp,Lillian Gish,1914
Lillian Gish,Donald Crisp,1914
Lillian Gish,Donald Crisp,1914
