name,degree,year
Donald Crisp,2,1911
Mary Pickford,1,1911
Lionel Barrymore,1,1911
Helen Hayes,0,1911
Robert Z. Leonard,0,1911
Harry Beaumont,0,1911
Mary Pickford,3,1912
Lionel Barrymore,3,1912
Lillian Gish,3,1912
Donald Crisp,2,1912
Erich von Stroheim,1,1912
Helen Hayes,0,1912
Robert Z. Leonard,0,1912
Harry Beaumont,0,1912
Michael Curtiz,0,1912
Lillian Gish,4,1913
Mary Pickford,3,1913
Donald Crisp,3,1913
Lionel Barrymore,3,1913
Herbert Brenon,2,1913
Erich von Stroheim,1,1913
Helen Hayes,0,1913
Robert Z. Leonard,0,1913
Harry Beaumont,0,1913
Michael Curtiz,0,1913
King Vidor,0,1913
Frank Borzage,0,1913
Irving Cummings,0,1913
George Miller,0,1913
Lillian Gish,4,1914
Cecil B. DeMille,4,1914
Mary Pickford,3,1914
Donald Crisp,3,1914
Lionel Barrymore,3,1914
Charles Chaplin,3,1914
Robert Z. Leonard,2,1914
Herbert Brenon,2,1914
Erich von Stroheim,1,1914
Frank Borzage,1,1914
Marie Dressler,1,1914
Jane Darwell,1,1914
H. B. Warner,1,1914
Sessue Hayakawa,1,1914
Helen Hayes,0,1914
Harry Beaumont,0,1914
Michael Curtiz,0,1914
King Vidor,0,1914
Irving Cummings,0,1914
George Miller,0,1914
John Ford,0,1914
George Stevens,0,1914
Ethel Barrymore,0,1914
Ernst Lubitsch,0,1914
Robert Vaughn,0,1914
Frank Lloyd,0,1914
Charles Chaplin,5,1915
Cecil B. DeMille,5,1915
Lillian Gish,4,1915
Mary Pickford,3,1915
Donald Crisp,3,1915
Lionel Barrymore,3,1915
Jane Darwell,3,1915
Sessue Hayakawa,3,1915
Robert Z. Leonard,2,1915
Herbert Brenon,2,1915
Gloria Swanson,2,1915
Erich von Stroheim,1,1915
Frank Borzage,1,1915
Marie Dressler,1,1915
H. B. Warner,1,1915
Frank Lloyd,1,1915
Wesley Ruggles,1,1915
Wallace Beery,1,1915
Helen Hayes,0,1915
Harry Beaumont,0,1915
Michael Curtiz,0,1915
King Vidor,0,1915
Irving Cummings,0,1915
George Miller,0,1915
John Ford,0,1915
George Stevens,0,1915
Ethel Barrymore,0,1915
Ernst Lubitsch,0,1915
Robert Vaughn,0,1915
Alice Brady,0,1915
May Robson,0,1915
Jeanne Eagels,0,1915
Betty Compson,0,1915
Donald Crisp,10,1916
Frank Borzage,8,1916
Lillian Gish,7,1916
King Vidor,6,1916
Cecil B. DeMille,6,1916
Erich von Stroheim,5,1916
Charles Chaplin,5,1916
Frank Lloyd,5,1916
Bessie Love,5,1916
Mary Pickford,3,1916
Lionel Barrymore,3,1916
Herbert Brenon,3,1916
Jane Darwell,3,1916
Sessue Hayakawa,3,1916
Richard Barthelmess,3,1916
Robert Z. Leonard,2,1916
Ernst Lubitsch,2,1916
Gloria Swanson,2,1916
W. S. Van Dyke,2,1916
Irving Cummings,1,1916
Marie Dressler,1,1916
H. B. Warner,1,1916
Wesley Ruggles,1,1916
Wallace Beery,1,1916
Alice Brady,1,1916
May Robson,1,1916
Jeanne Eagels,1,1916
Edmund Gwenn,1,1916
Gladys Cooper,1,1916
Billie Burke,1,1916
Helen Hayes,0,1916
Harry Beaumont,0,1916
Michael Curtiz,0,1916
George Miller,0,1916
John Ford,0,1916
George Stevens,0,1916
Ethel Barrymore,0,1916
Robert Vaughn,0,1916
Betty Compson,0,1916
Emil Jannings,0,1916
Loretta Young,0,1916
Adolphe Menjou,0,1916
Corinne Griffith,0,1916
Donald Crisp,10,1917
Frank Borzage,9,1917
Cecil B. DeMille,9,1917
Lillian Gish,7,1917
Mary Pickford,6,1917
Lionel Barrymore,6,1917
King Vidor,6,1917
Erich von Stroheim,5,1917
Charles Chaplin,5,1917
Frank Lloyd,5,1917
Bessie Love,5,1917
Robert Z. Leonard,4,1917
Ethel Barrymore,4,1917
Wallace Beery,4,1917
Richard Barthelmess,4,1917
Herbert Brenon,3,1917
Jane Darwell,3,1917
Sessue Hayakawa,3,1917
Ernst Lubitsch,3,1917
Sam Wood,3,1917
Marjorie Rambeau,3,1917
Clifton Webb,3,1917
Irving Cummings,2,1917
John Ford,2,1917
Gloria Swanson,2,1917
Jeanne Eagels,2,1917
W. S. Van Dyke,2,1917
Marie Dressler,1,1917
H. B. Warner,1,1917
Robert Vaughn,1,1917
Wesley Ruggles,1,1917
Alice Brady,1,1917
May Robson,1,1917
Edmund Gwenn,1,1917
Gladys Cooper,1,1917
Emil Jannings,1,1917
Loretta Young,1,1917
Billie Burke,1,1917
Adolphe Menjou,1,1917
Helen Hayes,0,1917
Harry Beaumont,0,1917
Michael Curtiz,0,1917
George Miller,0,1917
George Stevens,0,1917
Betty Compson,0,1917
Corinne Griffith,0,1917
Vittorio De Sica,0,1917
Frank Morgan,0,1917
Clarence Brown,0,1917
Victor Schertzinger,0,1917
Ronald Colman,0,1917
Chester Morris,0,1917
Elizabeth Taylor,0,1917
Donald Crisp,10,1918
Frank Borzage,10,1918
Cecil B. DeMille,9,1918
Lillian Gish,7,1918
Mary Pickford,6,1918
Lionel Barrymore,6,1918
King Vidor,6,1918
Erich von Stroheim,5,1918
Charles Chaplin,5,1918
Frank Lloyd,5,1918
Bessie Love,5,1918
Robert Z. Leonard,4,1918
Ethel Barrymore,4,1918
Wallace Beery,4,1918
Richard Barthelmess,4,1918
Herbert Brenon,3,1918
Jane Darwell,3,1918
Sessue Hayakawa,3,1918
Ernst Lubitsch,3,1918
Gloria Swanson,3,1918
Sam Wood,3,1918
Marjorie Rambeau,3,1918
Clifton Webb,3,1918
Irving Cummings,2,1918
John Ford,2,1918
Alice Brady,2,1918
Jeanne Eagels,2,1918
W. S. Van Dyke,2,1918
Marie Dressler,1,1918
H. B. Warner,1,1918
Robert Vaughn,1,1918
Wesley Ruggles,1,1918
May Robson,1,1918
Edmund Gwenn,1,1918
Gladys Cooper,1,1918
Emil Jannings,1,1918
Loretta Young,1,1918
Billie Burke,1,1918
Adolphe Menjou,1,1918
Frank Morgan,1,1918
Helen Hayes,0,1918
Harry Beaumont,0,1918
Michael Curtiz,0,1918
George Miller,0,1918
George Stevens,0,1918
Betty Compson,0,1918
Corinne Griffith,0,1918
Vittorio De Sica,0,1918
Clarence Brown,0,1918
Victor Schertzinger,0,1918
Ronald Colman,0,1918
Chester Morris,0,1918
Elizabeth Taylor,0,1918
Sara Allgood,0,1918
Arthur Kennedy,0,1918
Warner Baxter,0,1918
Lewis Stone,0,1918
Sidney Franklin,0,1918
Donald Crisp,11,1919
Cecil B. DeMille,11,1919
Frank Borzage,10,1919
Lillian Gish,8,1919
Erich von Stroheim,7,1919
Mary Pickford,6,1919
Lionel Barrymore,6,1919
King Vidor,6,1919
Irving Cummings,6,1919
Gloria Swanson,6,1919
Richard Barthelmess,6,1919
Charles Chaplin,5,1919
Frank Lloyd,5,1919
Bessie Love,5,1919
Sam Wood,5,1919
Robert Z. Leonard,4,1919
Ethel Barrymore,4,1919
Wallace Beery,4,1919
Herbert Brenon,3,1919
Jane Darwell,3,1919
Sessue Hayakawa,3,1919
Ernst Lubitsch,3,1919
Marjorie Rambeau,3,1919
Clifton Webb,3,1919
John Ford,2,1919
Alice Brady,2,1919
Jeanne Eagels,2,1919
W. S. Van Dyke,2,1919
Victor Fleming,2,1919
Marie Dressler,1,1919
H. B. Warner,1,1919
George Stevens,1,1919
Robert Vaughn,1,1919
Wesley Ruggles,1,1919
May Robson,1,1919
Edmund Gwenn,1,1919
Gladys Cooper,1,1919
Emil Jannings,1,1919
Loretta Young,1,1919
Billie Burke,1,1919
Adolphe Menjou,1,1919
Frank Morgan,1,1919
Helen Hayes,0,1919
Harry Beaumont,0,1919
Michael Curtiz,0,1919
George Miller,0,1919
Betty Compson,0,1919
Corinne Griffith,0,1919
Vittorio De Sica,0,1919
Clarence Brown,0,1919
Victor Schertzinger,0,1919
Ronald Colman,0,1919
Chester Morris,0,1919
Elizabeth Taylor,0,1919
Sara Allgood,0,1919
Arthur Kennedy,0,1919
Warner Baxter,0,1919
Lewis Stone,0,1919
Sidney Franklin,0,1919
William A. Wellman,0,1919
Gladys George,0,1919
Peggy Wood,0,1919
Donald Crisp,12,1920
Cecil B. DeMille,11,1920
Frank Borzage,10,1920
Lillian Gish,8,1920
Erich von Stroheim,7,1920
Irving Cummings,7,1920
Wallace Beery,7,1920
Mary Pickford,6,1920
Lionel Barrymore,6,1920
King Vidor,6,1920
Gloria Swanson,6,1920
Richard Barthelmess,6,1920
Robert Z. Leonard,5,1920
Charles Chaplin,5,1920
Frank Lloyd,5,1920
Bessie Love,5,1920
Sam Wood,5,1920
Ethel Barrymore,4,1920
Herbert Brenon,3,1920
Jane Darwell,3,1920
George Stevens,3,1920
Sessue Hayakawa,3,1920
Ernst Lubitsch,3,1920
Alice Brady,3,1920
Marjorie Rambeau,3,1920
Clifton Webb,3,1920
Victor Fleming,3,1920
John Ford,2,1920
May Robson,2,1920
Jeanne Eagels,2,1920
Adolphe Menjou,2,1920
W. S. Van Dyke,2,1920
Marie Dressler,1,1920
H. B. Warner,1,1920
Robert Vaughn,1,1920
Wesley Ruggles,1,1920
Edmund Gwenn,1,1920
Gladys Cooper,1,1920
Emil Jannings,1,1920
Loretta Young,1,1920
Billie Burke,1,1920
Corinne Griffith,1,1920
Frank Morgan,1,1920
Clarence Brown,1,1920
Victor Schertzinger,1,1920
Lewis Stone,1,1920
Norma Shearer,1,1920
William Holden,1,1920
Helen Hayes,0,1920
Harry Beaumont,0,1920
Michael Curtiz,0,1920
George Miller,0,1920
Betty Compson,0,1920
Vittorio De Sica,0,1920
Ronald Colman,0,1920
Chester Morris,0,1920
Elizabeth Taylor,0,1920
Sara Allgood,0,1920
Arthur Kennedy,0,1920
Warner Baxter,0,1920
Sidney Franklin,0,1920
William A. Wellman,0,1920
Gladys George,0,1920
Peggy Wood,0,1920
Mary Astor,0,1920
Charles Boyer,0,1920
Norman Taurog,0,1920
Claude Rains,0,1920
Dame May Whitty,0,1920
Victor McLaglen,0,1920
William Dieterle,0,1920
Donald Crisp,12,1921
Cecil B. DeMille,11,1921
Frank Borzage,10,1921
Lillian Gish,9,1921
Wallace Beery,9,1921
Mary Pickford,7,1921
Lionel Barrymore,7,1921
Erich von Stroheim,7,1921
Irving Cummings,7,1921
King Vidor,6,1921
Frank Lloyd,6,1921
Gloria Swanson,6,1921
Bessie Love,6,1921
Richard Barthelmess,6,1921
Robert Z. Leonard,5,1921
Charles Chaplin,5,1921
Sam Wood,5,1921
Herbert Brenon,4,1921
Ethel Barrymore,4,1921
Sessue Hayakawa,4,1921
Adolphe Menjou,4,1921
Jane Darwell,3,1921
George Stevens,3,1921
Ernst Lubitsch,3,1921
Alice Brady,3,1921
Marjorie Rambeau,3,1921
Clifton Webb,3,1921
Lewis Stone,3,1921
Victor Fleming,3,1921
Fredric March,3,1921
John Ford,2,1921
May Robson,2,1921
Jeanne Eagels,2,1921
Loretta Young,2,1921
Billie Burke,2,1921
W. S. Van Dyke,2,1921
Corinne Griffith,2,1921
Victor Schertzinger,2,1921
Norma Shearer,2,1921
Marie Dressler,1,1921
H. B. Warner,1,1921
Robert Vaughn,1,1921
Wesley Ruggles,1,1921
Edmund Gwenn,1,1921
Gladys Cooper,1,1921
Emil Jannings,1,1921
Frank Morgan,1,1921
Clarence Brown,1,1921
William Holden,1,1921
Joseph Schildkraut,1,1921
George Arliss,1,1921
Edward Norton,1,1921
Helen Hayes,0,1921
Harry Beaumont,0,1921
Michael Curtiz,0,1921
George Miller,0,1921
Betty Compson,0,1921
Vittorio De Sica,0,1921
Ronald Colman,0,1921
Chester Morris,0,1921
Elizabeth Taylor,0,1921
Sara Allgood,0,1921
Arthur Kennedy,0,1921
Warner Baxter,0,1921
Sidney Franklin,0,1921
William A. Wellman,0,1921
Gladys George,0,1921
Peggy Wood,0,1921
Mary Astor,0,1921
Charles Boyer,0,1921
Norman Taurog,0,1921
Claude Rains,0,1921
Dame May Whitty,0,1921
Victor McLaglen,0,1921
William Dieterle,0,1921
Louis Calhern,0,1921
Basil Rathbone,0,1921
Stanley Holloway,0,1921
Richard Dix,0,1921
Carole Lombard,0,1921
Leo McCarey,0,1921
Cecil B. DeMille,13,1922
Donald Crisp,12,1922
Irving Cummings,11,1922
Frank Borzage,10,1922
Wallace Beery,10,1922
Lillian Gish,9,1922
Frank Lloyd,9,1922
Gloria Swanson,9,1922
Bessie Love,8,1922
Mary Pickford,7,1922
Lionel Barrymore,7,1922
Erich von Stroheim,7,1922
Alice Brady,7,1922
King Vidor,6,1922
Richard Barthelmess,6,1922
Adolphe Menjou,6,1922
Sam Wood,6,1922
Robert Z. Leonard,5,1922
Charles Chaplin,5,1922
Herbert Brenon,4,1922
Ethel Barrymore,4,1922
Sessue Hayakawa,4,1922
Victor Fleming,4,1922
Jane Darwell,3,1922
John Ford,3,1922
George Stevens,3,1922
Ernst Lubitsch,3,1922
Wesley Ruggles,3,1922
Betty Compson,3,1922
W. S. Van Dyke,3,1922
Marjorie Rambeau,3,1922
Clifton Webb,3,1922
Lewis Stone,3,1922
Fredric March,3,1922
May Robson,2,1922
Jeanne Eagels,2,1922
Loretta Young,2,1922
Billie Burke,2,1922
Corinne Griffith,2,1922
Victor Schertzinger,2,1922
Norma Shearer,2,1922
George Arliss,2,1922
Mervyn LeRoy,2,1922
Marie Dressler,1,1922
H. B. Warner,1,1922
Robert Vaughn,1,1922
Edmund Gwenn,1,1922
Gladys Cooper,1,1922
Emil Jannings,1,1922
Frank Morgan,1,1922
Clarence Brown,1,1922
Warner Baxter,1,1922
Mary Astor,1,1922
William Holden,1,1922
Joseph Schildkraut,1,1922
Richard Dix,1,1922
Edward Norton,1,1922
Roland Young,1,1922
William Powell,1,1922
Helen Hayes,0,1922
Harry Beaumont,0,1922
Michael Curtiz,0,1922
George Miller,0,1922
Vittorio De Sica,0,1922
Ronald Colman,0,1922
Chester Morris,0,1922
Elizabeth Taylor,0,1922
Sara Allgood,0,1922
Arthur Kennedy,0,1922
Sidney Franklin,0,1922
William A. Wellman,0,1922
Gladys George,0,1922
Peggy Wood,0,1922
Charles Boyer,0,1922
Norman Taurog,0,1922
Claude Rains,0,1922
Dame May Whitty,0,1922
Victor McLaglen,0,1922
William Dieterle,0,1922
Louis Calhern,0,1922
