name,year
Mary Pickford,1909
Mary Pickford,1910
Donald Crisp,1910
Helen Hayes,1910
Mary Pickford,1911
Donald Crisp,1911
Lionel Barrymore,1911
Robert Z. Leonard,1911
Harry Beaumont,1911
Mary Pickford,1912
Lionel Barrymore,1912
Lillian Gish,1912
Erich von Stroheim,1912
Michael Curtiz,1912
Donald Crisp,1912
Harry Beaumont,1912
Lionel Barrymore,1913
Herbert Brenon,1913
Lillian Gish,1913
Donald Crisp,1913
Mary Pickford,1913
King Vidor,1913
Michael Curtiz,1913
Robert Z. Leonard,1913
Frank Borzage,1913
Harry Beaumont,1913
Irving Cummings,1913
George Miller,1913
Marie Dressler,1914
Charles Chaplin,1914
Cecil B. DeMille,1914
Lillian Gish,1914
Lionel Barrymore,1914
Jane Darwell,1914
Donald Crisp,1914
Frank Borzage,1914
H. B. Warner,1914
Michael Curtiz,1914
Herbert Brenon,1914
John Ford,1914
Robert Z. Leonard,1914
Harry Beaumont,1914
Mary Pickford,1914
George Stevens,1914
Ethel Barrymore,1914
Irving Cummings,1914
Sessue Hayakawa,1914
Ernst Lubitsch,1914
Robert Vaughn,1914
Frank Lloyd,1914
Lillian Gish,1915
Donald Crisp,1915
Sessue Hayakawa,1915
Cecil B. DeMille,1915
Charles Chaplin,1915
Wesley Ruggles,1915
Gloria Swanson,1915
Irving Cummings,1915
Robert Z. Leonard,1915
Jane Darwell,1915
Erich von Stroheim,1915
Frank Lloyd,1915
John Ford,1915
Lionel Barrymore,1915
Herbert Brenon,1915
Mary Pickford,1915
Wallace Beery,1915
Michael Curtiz,1915
Alice Brady,1915
Frank Borzage,1915
Ernst Lubitsch,1915
George Stevens,1915
May Robson,1915
Ethel Barrymore,1915
Marie Dressler,1915
Robert Vaughn,1915
Jeanne Eagels,1915
Betty Compson,1915
Lillian Gish,1916
Bessie Love,1916
Frank Borzage,1916
Donald Crisp,1916
Erich von Stroheim,1916
King Vidor,1916
Charles Chaplin,1916
Wesley Ruggles,1916
Richard Barthelmess,1916
May Robson,1916
Herbert Brenon,1916
Robert Z. Leonard,1916
Cecil B. DeMille,1916
Michael Curtiz,1916
John Ford,1916
Mary Pickford,1916
Edmund Gwenn,1916
Gladys Cooper,1916
Gloria Swanson,1916
Wallace Beery,1916
Emil Jannings,1916
Jeanne Eagels,1916
Frank Lloyd,1916
Loretta Young,1916
Harry Beaumont,1916
Billie Burke,1916
Lionel Barrymore,1916
Adolphe Menjou,1916
W. S. Van Dyke,1916
Ethel Barrymore,1916
Alice Brady,1916
Irving Cummings,1916
Ernst Lubitsch,1916
Sessue Hayakawa,1916
George Stevens,1916
Betty Compson,1916
H. B. Warner,1916
Corinne Griffith,1916
Charles Chaplin,1917
Loretta Young,1917
Robert Z. Leonard,1917
Mary Pickford,1917
John Ford,1917
Richard Barthelmess,1917
Cecil B. DeMille,1917
Wallace Beery,1917
Sam Wood,1917
Lillian Gish,1917
Michael Curtiz,1917
Gloria Swanson,1917
Herbert Brenon,1917
Vittorio De Sica,1917
Lionel Barrymore,1917
Frank Morgan,1917
Billie Burke,1917
Clarence Brown,1917
Ethel Barrymore,1917
Marjorie Rambeau,1917
Bessie Love,1917
Sessue Hayakawa,1917
Frank Lloyd,1917
Gladys Cooper,1917
Clifton Webb,1917
Emil Jannings,1917
Adolphe Menjou,1917
Alice Brady,1917
Ernst Lubitsch,1917
George Stevens,1917
Marie Dressler,1917
Wesley Ruggles,1917
Frank Borzage,1917
Donald Crisp,1917
Victor Schertzinger,1917
Erich von Stroheim,1917
Robert Vaughn,1917
Jeanne Eagels,1917
Harry Beaumont,1917
Ronald Colman,1917
Irving Cummings,1917
Chester Morris,1917
Elizabeth Taylor,1917
W. S. Van Dyke,1917
Charles Chaplin,1918
Wesley Ruggles,1918
Lillian Gish,1918
Erich von Stroheim,1918
Michael Curtiz,1918
John Ford,1918
Betty Compson,1918
King Vidor,1918
Cecil B. DeMille,1918
Robert Z. Leonard,1918
Mary Pickford,1918
Ernst Lubitsch,1918
Gloria Swanson,1918
Frank Borzage,1918
Harry Beaumont,1918
Donald Crisp,1918
Sara Allgood,1918
Herbert Brenon,1918
Arthur Kennedy,1918
Ethel Barrymore,1918
Bessie Love,1918
Frank Lloyd,1918
Emil Jannings,1918
Billie Burke,1918
Richard Barthelmess,1918
Warner Baxter,1918
Victor Schertzinger,1918
Sessue Hayakawa,1918
Irving Cummings,1918
Corinne Griffith,1918
Alice Brady,1918
Frank Morgan,1918
Lewis Stone,1918
Sidney Franklin,1918
Lillian Gish,1919
Richard Barthelmess,1919
Donald Crisp,1919
Gloria Swanson,1919
Cecil B. DeMille,1919
Charles Chaplin,1919
Robert Z. Leonard,1919
Victor Fleming,1919
Betty Compson,1919
Mary Pickford,1919
King Vidor,1919
John Ford,1919
Irving Cummings,1919
Sam Wood,1919
Victor Schertzinger,1919
Michael Curtiz,1919
Ernst Lubitsch,1919
W. S. Van Dyke,1919
Sessue Hayakawa,1919
William A. Wellman,1919
Wallace Beery,1919
Erich von Stroheim,1919
Emil Jannings,1919
Billie Burke,1919
Bessie Love,1919
Ronald Colman,1919
Corinne Griffith,1919
Frank Lloyd,1919
Ethel Barrymore,1919
Herbert Brenon,1919
George Stevens,1919
Gladys George,1919
H. B. Warner,1919
Alice Brady,1919
Marjorie Rambeau,1919
Harry Beaumont,1919
Frank Borzage,1919
Wesley Ruggles,1919
Peggy Wood,1919
Wallace Beery,1920
Clarence Brown,1920
George Stevens,1920
May Robson,1920
Lillian Gish,1920
Richard Barthelmess,1920
Mary Pickford,1920
Victor Fleming,1920
Mary Astor,1920
Emil Jannings,1920
Norma Shearer,1920
Irving Cummings,1920
Charles Boyer,1920
Norman Taurog,1920
Frank Lloyd,1920
King Vidor,1920
Gloria Swanson,1920
Cecil B. DeMille,1920
John Ford,1920
Michael Curtiz,1920
Claude Rains,1920
W. S. Van Dyke,1920
Robert Z. Leonard,1920
Gladys George,1920
Lewis Stone,1920
Ernst Lubitsch,1920
Wesley Ruggles,1920
Erich von Stroheim,1920
Alice Brady,1920
Dame May Whitty,1920
Ronald Colman,1920
Lionel Barrymore,1920
Sam Wood,1920
Billie Burke,1920
Frank Borzage,1920
Sessue Hayakawa,1920
Clifton Webb,1920
Donald Crisp,1920
Victor Schertzinger,1920
Corinne Griffith,1920
William Holden,1920
Bessie Love,1920
Marjorie Rambeau,1920
Victor McLaglen,1920
Herbert Brenon,1920
H. B. Warner,1920
William Dieterle,1920
Adolphe Menjou,1920
Harry Beaumont,1920
Adolphe Menjou,1921
Loretta Young,1921
Wallace Beery,1921
Charles Chaplin,1921
Richard Barthelmess,1921
Louis Calhern,1921
Victor Fleming,1921
Lillian Gish,1921
Joseph Schildkraut,1921
Gloria Swanson,1921
Sam Wood,1921
Norman Taurog,1921
John Ford,1921
King Vidor,1921
Donald Crisp,1921
Cecil B. DeMille,1921
Michael Curtiz,1921
W. S. Van Dyke,1921
Warner Baxter,1921
Norma Shearer,1921
Herbert Brenon,1921
Mary Pickford,1921
Basil Rathbone,1921
Edmund Gwenn,1921
Frank Borzage,1921
Bessie Love,1921
Mary Astor,1921
Ernst Lubitsch,1921
George Arliss,1921
Victor McLaglen,1921
Robert Z. Leonard,1921
Frank Lloyd,1921
Betty Compson,1921
Billie Burke,1921
Fredric March,1921
William Dieterle,1921
Lionel Barrymore,1921
Stanley Holloway,1921
Sessue Hayakawa,1921
Alice Brady,1921
Emil Jannings,1921
Richard Dix,1921
Gladys George,1921
Lewis Stone,1921
Wesley Ruggles,1921
Corinne Griffith,1921
Edward Norton,1921
Carole Lombard,1921
Victor Schertzinger,1921
Ronald Colman,1921
Leo McCarey,1921
Robert Vaughn,1921
Donald Crisp,1922
Charles Chaplin,1922
Victor Fleming,1922
Alice Brady,1922
Frank Lloyd,1922
Wallace Beery,1922
Mary Pickford,1922
Norman Taurog,1922
King Vidor,1922
Michael Curtiz,1922
Paul Lukas,1922
Cecil B. DeMille,1922
Adolphe Menjou,1922
Victor Schertzinger,1922
Erich von Stroheim,1922
W. S. Van Dyke,1922
John Ford,1922
Bessie Love,1922
Lewis Stone,1922
Roland Young,1922
William Powell,1922
Robert Z. Leonard,1922
Gene Lockhart,1922
Irving Cummings,1922
Gloria Swanson,1922
Sam Wood,1922
Mervyn LeRoy,1922
Frank Capra,1922
Herbert Brenon,1922
Victor McLaglen,1922
Clarence Brown,1922
Betty Compson,1922
Gladys Cooper,1922
Warner Baxter,1922
Louise Dresser,1922
Sessue Hayakawa,1922
Lionel Barrymore,1922
William Dieterle,1922
Emil Jannings,1922
Ernst Lubitsch,1922
Frank Borzage,1922
Mary Astor,1922
Wesley Ruggles,1922
George Arliss,1922
Corinne Griffith,1922
Norma Shearer,1922
James Gleason,1922
Harry Beaumont,1922
Richard Dix,1922
Louis Calhern,1922
Richard Barthelmess,1922
Adolphe Menjou,1923
Charles Chaplin,1923
Richard Dix,1923
Cecil B. DeMille,1923
Mary Astor,1923
Lionel Barrymore,1923
Victor Fleming,1923
Mervyn LeRoy,1923
Wallace Beery,1923
Bessie Love,1923
Lewis Stone,1923
Erich von Stroheim,1923
King Vidor,1923
Alfred Hitchcock,1923
Lillian Gish,1923
Ronald Colman,1923
Michael Curtiz,1923
Harry Beaumont,1923
John Ford,1923
Jean Arthur,1923
Herbert Brenon,1923
Gladys Cooper,1923
William Dieterle,1923
Mary Pickford,1923
Ernst Lubitsch,1923
Warner Baxter,1923
Betty Compson,1923
Gloria Swanson,1923
Corinne Griffith,1923
Frank Lloyd,1923
George Arliss,1923
Robert Z. Leonard,1923
Louise Dresser,1923
Victor McLaglen,1923
William Powell,1923
George Bancroft,1923
Donald Crisp,1923
Basil Rathbone,1923
Wesley Ruggles,1923
Richard Barthelmess,1923
Sam Wood,1923
H. B. Warner,1923
Una Merkel,1923
Jack Cardiff,1923
Paul Lukas,1923
Clarence Brown,1923
Norma Shearer,1923
Alice Brady,1923
Marlene Dietrich,1923
Helen Hayes,1923
William Wellman,1923
Alfred Lunt,1923
Jack Oakie,1923
Frank Borzage,1923
Sessue Hayakawa,1923
Irving Cummings,1923
Emil Jannings,1923
Joseph Schildkraut,1923
Victor Schertzinger,1923
William A. Wellman,1923
Edna May Oliver,1923
Emil Jannings,1924
Erich von Stroheim,1924
Norma Shearer,1924
Donald Crisp,1924
John Ford,1924
Victor Fleming,1924
William Dieterle,1924
Edna May Oliver,1924
Gregory La Cava,1924
Ronald Colman,1924
Adolphe Menjou,1924
Ernst Lubitsch,1924
Greta Garbo,1924
Clark Gable,1924
King Vidor,1924
Jean Arthur,1924
Cecil B. DeMille,1924
Lillian Gish,1924
William Powell,1924
Wallace Beery,1924
Frank Lloyd,1924
Michael Curtiz,1924
Louise Dresser,1924
Robert Z. Leonard,1924
Mary Pickford,1924
Basil Rathbone,1924
Frank Borzage,1924
Lionel Barrymore,1924
Victor Schertzinger,1924
Bessie Love,1924
Mary Astor,1924
Harry Beaumont,1924
Sam Wood,1924
Lewis Stone,1924
Victor McLaglen,1924
Herbert Brenon,1924
Richard Barthelmess,1924
John Gielgud,1924
Carole Lombard,1924
W. S. Van Dyke,1924
Jack Oakie,1924
Gloria Swanson,1924
Frank Morgan,1924
Corinne Griffith,1924
Alfred Lunt,1924
Lynn Fontanne,1924
Betty Compson,1924
Leo McCarey,1924
Clifton Webb,1924
Warner Baxter,1924
William Wellman,1924
William A. Wellman,1924
Wesley Ruggles,1924
Richard Dix,1924
Frank Capra,1924
Sessue Hayakawa,1924
Clarence Brown,1924
Elisabeth Bergner,1924
Marlene Dietrich,1924
George Stevens,1924
Mervyn LeRoy,1924
George Arliss,1924
Irving Cummings,1924
H. B. Warner,1924
Janet Gaynor,1924
Ted Wilde,1924
Roland Young,1924
King Vidor,1925
Charles Chaplin,1925
Alfred Hitchcock,1925
Lionel Barrymore,1925
Clarence Brown,1925
Joan Crawford,1925
Lillian Gish,1925
Carole Lombard,1925
Mary Pickford,1925
Louise Dresser,1925
Gary Cooper,1925
Bessie Love,1925
Lewis Stone,1925
Wallace Beery,1925
Wesley Ruggles,1925
Victor Fleming,1925
Warner Baxter,1925
Jean Arthur,1925
Ronald Colman,1925
Mary Astor,1925
Donald Crisp,1925
Norma Shearer,1925
Clark Gable,1925
Erich von Stroheim,1925
Michael Curtiz,1925
Leo McCarey,1925
Cecil B. DeMille,1925
Joseph Schildkraut,1925
Chester Morris,1925
John Ford,1925
Victor McLaglen,1925
Basil Rathbone,1925
William Powell,1925
Robert Z. Leonard,1925
Victor Schertzinger,1925
Frank Borzage,1925
Richard Barthelmess,1925
Alfred Lunt,1925
Herbert Brenon,1925
Adolphe Menjou,1925
Gloria Swanson,1925
Ernst Lubitsch,1925
Walter Lang,1925
Betty Compson,1925
Corinne Griffith,1925
Lewis Milestone,1925
Brian Aherne,1925
Janet Gaynor,1925
Clifton Webb,1925
Gregory La Cava,1925
Marlene Dietrich,1925
Edna May Oliver,1925
Richard Dix,1925
Irving Cummings,1925
Frank Lloyd,1925
Frank Morgan,1925
Lynn Fontanne,1925
W. S. Van Dyke,1925
William Dieterle,1925
Emil Jannings,1925
Walter Brennan,1925
Harry Beaumont,1925
Sam Wood,1925
J. Carrol Naish,1925
Brian Donlevy,1925
Alfred Hitchcock,1926
Emil Jannings,1926
William Dieterle,1926
Greta Garbo,1926
Clarence Brown,1926
Victor McLaglen,1926
J. Carrol Naish,1926
Frank Capra,1926
Mary Astor,1926
Cecil B. DeMille,1926
Ronald Colman,1926
William Powell,1926
Herbert Brenon,1926
Janet Gaynor,1926
Louise Dresser,1926
Victor Fleming,1926
John Wayne,1926
King Vidor,1926
Jean Arthur,1926
Warner Baxter,1926
Nancy Kelly,1926
Adolphe Menjou,1926
Wallace Beery,1926
Lionel Barrymore,1926
Charles Chaplin,1926
Ethel Barrymore,1926
Roland Young,1926
Richard Barthelmess,1926
Gloria Swanson,1926
Joan Crawford,1926
William A. Wellman,1926
Clark Gable,1926
Carole Lombard,1926
Irving Cummings,1926
Leo McCarey,1926
Mary Pickford,1926
Gary Cooper,1926
Lillian Gish,1926
John Ford,1926
Walter Lang,1926
Frank Lloyd,1926
Howard Hawks,1926
Basil Rathbone,1926
Gregory La Cava,1926
Jean Renoir,1926
Michael Curtiz,1926
Norma Shearer,1926
Robert Z. Leonard,1926
W. S. Van Dyke,1926
Bessie Love,1926
Edna May Oliver,1926
Marlene Dietrich,1926
Walter Pidgeon,1926
William Wellman,1926
Walter Brennan,1926
Lewis Milestone,1926
Joseph Schildkraut,1926
Donald Crisp,1926
Sam Wood,1926
May Robson,1926
Brian Aherne,1926
Bill Murray,1926
Lewis Stone,1926
Ernst Lubitsch,1926
Betty Compson,1926
Corinne Griffith,1926
Richard Dix,1926
Elisabeth Bergner,1926
Victor Schertzinger,1926
Marjorie Rambeau,1926
Frank Borzage,1926
Robert Ryan,1926
Harry Beaumont,1926
William Wyler,1926
Brian Donlevy,1926
Wesley Ruggles,1926
Gary Cooper,1927
William A. Wellman,1927
Janet Gaynor,1927
Frank Borzage,1927
Richard Barthelmess,1927
May Robson,1927
Alfred Hitchcock,1927
Mary Astor,1927
Lewis Milestone,1927
Lewis Stone,1927
Emil Jannings,1927
Victor Fleming,1927
Joseph Schildkraut,1927
H. B. Warner,1927
Cecil B. DeMille,1927
Herbert Brenon,1927
Norma Shearer,1927
Ernst Lubitsch,1927
Ted Wilde,1927
George Bancroft,1927
Leo McCarey,1927
Gloria Swanson,1927
Lillian Gish,1927
John Wayne,1927
Frank Lloyd,1927
Walter Pidgeon,1927
Wallace Beery,1927
Lionel Barrymore,1927
Joan Crawford,1927
Greta Garbo,1927
Claudette Colbert,1927
Frank Capra,1927
Marlene Dietrich,1927
Sylvia Sidney,1927
Barbara Stanwyck,1927
Ann Sothern,1927
Adolphe Menjou,1927
Robert Z. Leonard,1927
William Powell,1927
Louise Dresser,1927
Walter Brennan,1927
Jean Arthur,1927
Mary Pickford,1927
Carole Lombard,1927
John Ford,1927
William Demarest,1927
Michael Chekhov,1927
Michael Curtiz,1927
Marie Dressler,1927
Corinne Griffith,1927
Mickey Rooney,1927
Brian Aherne,1927
Vittorio De Sica,1927
Jeanne Eagels,1927
Howard Hawks,1927
Bessie Love,1927
Donald Crisp,1927
Ronald Colman,1927
Warner Baxter,1927
Robert Ryan,1927
Sam Wood,1927
Elsa Lanchester,1927
Frank Morgan,1927
Gregory La Cava,1927
W. S. Van Dyke,1927
Ed Wynn,1927
William Dieterle,1927
Victor McLaglen,1927
Elisabeth Bergner,1927
Richard Dix,1927
William Wyler,1927
Betty Compson,1927
Walter Lang,1927
Hermione Baddeley,1927
Mervyn LeRoy,1927
Irving Cummings,1927
Nancy Carroll,1927
Victor Schertzinger,1927
Harry Beaumont,1927
Jean Renoir,1927
Wesley Ruggles,1927
Warner Baxter,1928
Irving Cummings,1928
Lewis Milestone,1928
Lillian Gish,1928
Louise Dresser,1928
Gloria Swanson,1928
Lionel Barrymore,1928
Betty Compson,1928
King Vidor,1928
Alfred Hitchcock,1928
Ted Wilde,1928
Joan Crawford,1928
Harry Beaumont,1928
Robert Z. Leonard,1928
Leo McCarey,1928
Donald Crisp,1928
Emil Jannings,1928
Lewis Stone,1928
Ernst Lubitsch,1928
Erich von Stroheim,1928
William A. Wellman,1928
Cecil B. DeMille,1928
William Dieterle,1928
Nancy Carroll,1928
Victor Fleming,1928
Frank Capra,1928
Victor McLaglen,1928
John Wayne,1928
John Ford,1928
Loretta Young,1928
Herbert Brenon,1928
Janet Gaynor,1928
Michael Curtiz,1928
Richard Barthelmess,1928
Clarence Brown,1928
Marie Dressler,1928
Wallace Beery,1928
William Demarest,1928
Howard Hawks,1928
Gary Cooper,1928
Norma Shearer,1928
Elsa Lanchester,1928
Greta Garbo,1928
Brian Aherne,1928
W. S. Van Dyke,1928
Humphrey Bogart,1928
Helen Hayes,1928
Paul Lukas,1928
Bessie Love,1928
William Powell,1928
Carole Lombard,1928
Gregory La Cava,1928
William Wyler,1928
Mickey Rooney,1928
Vittorio De Sica,1928
Frank Lloyd,1928
Corinne Griffith,1928
Ruth Chatterton,1928
Jean Arthur,1928
Ronald Colman,1928
Hermione Baddeley,1928
Joseph Schildkraut,1928
May Robson,1928
Mary Astor,1928
Victor Schertzinger,1928
