gender_x,name,title,year,role,nconst,birthYear,deathYear,primaryProfession,roleAge,posthumous
M,Fred Astaire,The Gay Divorcee,1934,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",35,False
M,Fred Astaire,Top Hat,1935,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",36,False
M,Fred Astaire,The Band Wagon,1953,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",54,False
M,Fred Astaire,The Towering Inferno,1974,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",75,False
M,Fred Astaire,Holiday Inn (film),1942,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",43,False
M,Fred Astaire,The Story of Vernon and Irene Castle,1939,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",40,False
M,Fred Astaire,Funny Face,1957,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",58,False
M,Fred Astaire,Easter Parade (film),1948,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",49,False
M,Fred Astaire,Swing Time (film),1936,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",37,False
M,Fred Astaire,Blue Skies (1946 film),1946,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",47,False
M,Fred Astaire,Broadway Melody of 1940,1940,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",41,False
M,Fred Astaire,Flying Down to Rio,1933,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",34,False
M,Fred Astaire,A Damsel in Distress (1937 film),1937,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",38,False
M,Fred Astaire,Ziegfeld Follies (film),1945,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",46,False
M,Fred Astaire,You'll Never Get Rich,1941,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",42,False
M,Fred Astaire,You Were Never Lovelier,1942,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",43,False
M,Fred Astaire,The Sky's the Limit (1943 film),1943,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",44,False
M,Fred Astaire,"That's Entertainment, Part II",1976,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",77,False
M,Fred Astaire,Royal Wedding,1951,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",52,False
M,Fred Astaire,The Belle of New York (1952 film),1952,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",53,False
M,Fred Astaire,Ghost Story (1981 film),1981,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",82,False
M,Fred Astaire,Follow the Fleet,1936,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",37,False
M,Fred Astaire,Daddy Long Legs (1955 film),1955,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",56,False
M,Fred Astaire,Yolanda and the Thief,1945,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",46,False
M,Fred Astaire,Three Little Words (film),1950,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",51,False
M,Fred Astaire,The Barkleys of Broadway,1949,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",50,False
M,Fred Astaire,Second Chorus,1940,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",41,False
M,Fred Astaire,Shall We Dance (1937 film),1937,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",38,False
M,Fred Astaire,"Brother, Can You Spare a Dime? (film)",1975,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",76,False
M,Fred Astaire,Finian's Rainbow (1968 film),1968,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",69,False
M,Fred Astaire,On the Beach (1959 film),1959,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",60,False
M,Fred Astaire,Silk Stockings (1957 film),1957,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",58,False
M,Fred Astaire,The Notorious Landlady,1962,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",63,False
M,Fred Astaire,Roberta (1935 film),1935,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",36,False
M,Fred Astaire,Let's Dance (1950 film),1950,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",51,False
M,Fred Astaire,The Amazing Dobermans,1976,star,nm0000001,1899,1987,"soundtrack,actor,miscellaneous",77,False
F,Lauren Bacall,Dogville,2003,star,nm0000002,1924,2014,"actress,soundtrack",79,False
F,Lauren Bacall,How to Marry a Millionaire,1953,star,nm0000002,1924,2014,"actress,soundtrack",29,False
F,Lauren Bacall,Manderlay,2005,star,nm0000002,1924,2014,"actress,soundtrack",81,False
F,Lauren Bacall,Birth (film),2004,star,nm0000002,1924,2014,"actress,soundtrack",80,False
F,Lauren Bacall,Written on the Wind,1956,star,nm0000002,1924,2014,"actress,soundtrack",32,False
F,Lauren Bacall,Key Largo (film),1948,star,nm0000002,1924,2014,"actress,soundtrack",24,False
F,Lauren Bacall,The Big Sleep (1946 film),1946,star,nm0000002,1924,2014,"actress,soundtrack",22,False
F,Lauren Bacall,Dark Passage (film),1947,star,nm0000002,1924,2014,"actress,soundtrack",23,False
F,Lauren Bacall,To Have and Have Not (film),1944,star,nm0000002,1924,2014,"actress,soundtrack",20,False
F,Lauren Bacall,A Foreign Field,1993,star,nm0000002,1924,2014,"actress,soundtrack",69,False
F,Lauren Bacall,North West Frontier (film),1959,star,nm0000002,1924,2014,"actress,soundtrack",35,False
F,Lauren Bacall,Bright Leaf,1950,star,nm0000002,1924,2014,"actress,soundtrack",26,False
F,Lauren Bacall,The Mirror Has Two Faces,1996,star,nm0000002,1924,2014,"actress,soundtrack",72,False
F,Lauren Bacall,Appointment with Death (film),1988,star,nm0000002,1924,2014,"actress,soundtrack",64,False
F,Lauren Bacall,Madeline: Lost in Paris,1999,star,nm0000002,1924,2014,"actress,soundtrack",75,False
F,Lauren Bacall,Murder on the Orient Express (1974 film),1974,star,nm0000002,1924,2014,"actress,soundtrack",50,False
F,Lauren Bacall,The Venice Project,1999,star,nm0000002,1924,2014,"actress,soundtrack",75,False
F,Lauren Bacall,Young Man with a Horn (film),1950,star,nm0000002,1924,2014,"actress,soundtrack",26,False
F,Lauren Bacall,The Fan (1981 film),1981,star,nm0000002,1924,2014,"actress,soundtrack",57,False
F,Lauren Bacall,Prêt-à-Porter (film),1994,star,nm0000002,1924,2014,"actress,soundtrack",70,False
F,Lauren Bacall,Harper (film),1966,star,nm0000002,1924,2014,"actress,soundtrack",42,False
F,Lauren Bacall,Diamonds (1999 film),1999,star,nm0000002,1924,2014,"actress,soundtrack",75,False
F,Lauren Bacall,Confidential Agent,1945,star,nm0000002,1924,2014,"actress,soundtrack",21,False
F,Lauren Bacall,Designing Woman,1957,star,nm0000002,1924,2014,"actress,soundtrack",33,False
F,Lauren Bacall,These Foolish Things (film),2006,star,nm0000002,1924,2014,"actress,soundtrack",82,False
F,Lauren Bacall,Presence of Mind,1999,star,nm0000002,1924,2014,"actress,soundtrack",75,False
F,Lauren Bacall,The Walker,2007,star,nm0000002,1924,2014,"actress,soundtrack",83,False
F,Lauren Bacall,All I Want for Christmas (film),1991,star,nm0000002,1924,2014,"actress,soundtrack",67,False
F,Lauren Bacall,Eve (2008 film),2008,star,nm0000002,1924,2014,"actress,soundtrack",84,False
F,Lauren Bacall,Woman's World (1954 film),1954,star,nm0000002,1924,2014,"actress,soundtrack",30,False
F,Lauren Bacall,Mr. North,1988,star,nm0000002,1924,2014,"actress,soundtrack",64,False
F,Lauren Bacall,Sex and the Single Girl (film),1964,star,nm0000002,1924,2014,"actress,soundtrack",40,False
F,Lauren Bacall,The Forger (2012 film),2011,star,nm0000002,1924,2014,"actress,soundtrack",87,False
F,Lauren Bacall,Gone Dark,2003,star,nm0000002,1924,2014,"actress,soundtrack",79,False
F,Lauren Bacall,The Gift of Love,1958,star,nm0000002,1924,2014,"actress,soundtrack",34,False
F,Lauren Bacall,Tree of Hands,1989,star,nm0000002,1924,2014,"actress,soundtrack",65,False
F,Lauren Bacall,Shock Treatment (1964 film),1964,star,nm0000002,1924,2014,"actress,soundtrack",40,False
F,Lauren Bacall,Day and Night (1997 film),1997,star,nm0000002,1924,2014,"actress,soundtrack",73,False
F,Lauren Bacall,My Fellow Americans,1996,star,nm0000002,1924,2014,"actress,soundtrack",72,False
F,Lauren Bacall,Wide Blue Yonder (film),2010,star,nm0000002,1924,2014,"actress,soundtrack",86,False
F,Lauren Bacall,A Star for Two,1991,star,nm0000002,1924,2014,"actress,soundtrack",67,False
M,Ingmar Bergman,In the Presence of a Clown,1997,star,nm0000005,1918,2007,"writer,director,actor",79,False
M,Ingmar Bergman,In the Presence of a Clown,1997,star,nm0000005,1918,2007,"writer,director,actor",79,False
F,Ingrid Bergman,Casablanca (film),1942,star,nm0000006,1915,1982,"actress,soundtrack,producer",27,False
F,Ingrid Bergman,Casablanca (film),1942,star,nm0902894,1930,1995,"miscellaneous,actress,producer",12,False
F,Ingrid Bergman,The Bells of St. Mary's,1945,star,nm0000006,1915,1982,"actress,soundtrack,producer",30,False
F,Ingrid Bergman,The Bells of St. Mary's,1945,star,nm0902894,1930,1995,"miscellaneous,actress,producer",15,False
F,Ingrid Bergman,Spellbound (1945 film),1945,star,nm0000006,1915,1982,"actress,soundtrack,producer",30,False
F,Ingrid Bergman,Spellbound (1945 film),1945,star,nm0902894,1930,1995,"miscellaneous,actress,producer",15,False
F,Ingrid Bergman,Anastasia (1956 film),1956,star,nm0000006,1915,1982,"actress,soundtrack,producer",41,False
F,Ingrid Bergman,Anastasia (1956 film),1956,star,nm0902894,1930,1995,"miscellaneous,actress,producer",26,False
F,Ingrid Bergman,Autumn Sonata,1978,star,nm0000006,1915,1982,"actress,soundtrack,producer",63,False
F,Ingrid Bergman,Autumn Sonata,1978,star,nm0902894,1930,1995,"miscellaneous,actress,producer",48,False
F,Ingrid Bergman,Notorious (1946 film),1946,star,nm0000006,1915,1982,"actress,soundtrack,producer",31,False
F,Ingrid Bergman,Notorious (1946 film),1946,star,nm0902894,1930,1995,"miscellaneous,actress,producer",16,False
F,Ingrid Bergman,The Inn of the Sixth Happiness,1958,star,nm0000006,1915,1982,"actress,soundtrack,producer",43,False
F,Ingrid Bergman,The Inn of the Sixth Happiness,1958,star,nm0902894,1930,1995,"miscellaneous,actress,producer",28,False
F,Ingrid Bergman,Joan of Arc (1948 film),1948,star,nm0000006,1915,1982,"actress,soundtrack,producer",33,False
F,Ingrid Bergman,Joan of Arc (1948 film),1948,star,nm0902894,1930,1995,"miscellaneous,actress,producer",18,False
F,Ingrid Bergman,Saratoga Trunk,1945,star,nm0000006,1915,1982,"actress,soundtrack,producer",30,False
F,Ingrid Bergman,Saratoga Trunk,1945,star,nm0902894,1930,1995,"miscellaneous,actress,producer",15,False
F,Ingrid Bergman,Under Capricorn,1949,star,nm0000006,1915,1982,"actress,soundtrack,producer",34,False
F,Ingrid Bergman,Under Capricorn,1949,star,nm0902894,1930,1995,"miscellaneous,actress,producer",19,False
F,Ingrid Bergman,Indiscreet (1958 film),1958,star,nm0000006,1915,1982,"actress,soundtrack,producer",43,False
F,Ingrid Bergman,Indiscreet (1958 film),1958,star,nm0902894,1930,1995,"miscellaneous,actress,producer",28,False
F,Ingrid Bergman,Gaslight (1944 film),1944,star,nm0000006,1915,1982,"actress,soundtrack,producer",29,False
F,Ingrid Bergman,Gaslight (1944 film),1944,star,nm0902894,1930,1995,"miscellaneous,actress,producer",14,False
F,Ingrid Bergman,Dr. Jekyll and Mr. Hyde (1941 film),1941,star,nm0000006,1915,1982,"actress,soundtrack,producer",26,False
F,Ingrid Bergman,Dr. Jekyll and Mr. Hyde (1941 film),1941,star,nm0902894,1930,1995,"miscellaneous,actress,producer",11,False
F,Ingrid Bergman,Europe '51,1952,star,nm0000006,1915,1982,"actress,soundtrack,producer",37,False
F,Ingrid Bergman,Europe '51,1952,star,nm0902894,1930,1995,"miscellaneous,actress,producer",22,False
F,Ingrid Bergman,Elena and Her Men,1956,star,nm0000006,1915,1982,"actress,soundtrack,producer",41,False
F,Ingrid Bergman,Elena and Her Men,1956,star,nm0902894,1930,1995,"miscellaneous,actress,producer",26,False
F,Ingrid Bergman,Stromboli (film),1950,star,nm0000006,1915,1982,"actress,soundtrack,producer",35,False
F,Ingrid Bergman,Stromboli (film),1950,star,nm0902894,1930,1995,"miscellaneous,actress,producer",20,False
F,Ingrid Bergman,The Visit (1964 film),1964,star,nm0000006,1915,1982,"actress,soundtrack,producer",49,False
F,Ingrid Bergman,The Visit (1964 film),1964,star,nm0902894,1930,1995,"miscellaneous,actress,producer",34,False
F,Ingrid Bergman,A Matter of Time (film),1976,star,nm0000006,1915,1982,"actress,soundtrack,producer",61,False
